evals,trace
4.860000000000000000e+02,8.127336027616994807e-01
4.880000000000000000e+02,8.411046366042523870e-01
4.900000000000000000e+02,8.411026502450916764e-01
4.920000000000000000e+02,8.654480832621909148e-01
4.940000000000000000e+02,7.801279535862767345e-01
4.960000000000000000e+02,8.168919500592562999e-01
4.980000000000000000e+02,8.363999334960748877e-01
5.000000000000000000e+02,8.332456443895733811e-01
5.020000000000000000e+02,8.074037115152224997e-01
5.040000000000000000e+02,8.048083906019749545e-01
5.060000000000000000e+02,7.505016638107651072e-01
5.080000000000000000e+02,7.510128084423302042e-01
5.100000000000000000e+02,7.647616258606362294e-01
5.120000000000000000e+02,7.784107147324492715e-01
5.140000000000000000e+02,8.420893389266497220e-01
5.160000000000000000e+02,8.984713135188150401e-01
5.180000000000000000e+02,8.366505446149524738e-01
5.200000000000000000e+02,8.563193488789941910e-01
5.220000000000000000e+02,9.436489244723291758e-01
5.240000000000000000e+02,9.467307789183846412e-01
5.260000000000000000e+02,9.593599647351813697e-01
5.280000000000000000e+02,9.638928047191837045e-01
5.300000000000000000e+02,9.773403551336588002e-01
5.320000000000000000e+02,9.766239978950247425e-01
5.340000000000000000e+02,9.846507640405464112e-01
5.360000000000000000e+02,9.662172904727519551e-01
5.380000000000000000e+02,9.650669715075773647e-01
5.400000000000000000e+02,9.616788024723390560e-01
5.420000000000000000e+02,9.572561259644569720e-01
5.440000000000000000e+02,9.795136804090199822e-01
5.460000000000000000e+02,9.853212430991993287e-01
5.480000000000000000e+02,9.846531235521607250e-01
5.500000000000000000e+02,9.537684691367744882e-01
5.520000000000000000e+02,9.452424526724363396e-01
5.540000000000000000e+02,8.892628650962899339e-01
5.560000000000000000e+02,8.702249043594219025e-01
5.580000000000000000e+02,7.623085117829709878e-01
5.600000000000000000e+02,8.206293132911345323e-01
5.620000000000000000e+02,7.718554140467159819e-01
5.640000000000000000e+02,7.526631363803667485e-01
5.660000000000000000e+02,7.466237759051399525e-01
5.680000000000000000e+02,9.514909670836991795e-01
5.700000000000000000e+02,9.745908382946778525e-01
5.720000000000000000e+02,9.111086052561609971e-01
5.740000000000000000e+02,9.821580052816761830e-01
5.760000000000000000e+02,9.664728063249676815e-01
5.780000000000000000e+02,9.298625393629430524e-01
5.800000000000000000e+02,9.273385912988549862e-01
5.820000000000000000e+02,9.830912139598089183e-01
5.840000000000000000e+02,9.839808290944853653e-01
5.860000000000000000e+02,9.811110359401679082e-01
5.880000000000000000e+02,9.871990767049635407e-01
5.900000000000000000e+02,9.894720241817654971e-01
5.920000000000000000e+02,9.928523589463666976e-01
5.940000000000000000e+02,9.933005949226840769e-01
5.960000000000000000e+02,9.998430534356551602e-01
5.980000000000000000e+02,9.943176653307818080e-01
6.000000000000000000e+02,9.955839931080250338e-01
6.020000000000000000e+02,9.909285115521178078e-01
6.040000000000000000e+02,9.896610521757708279e-01
6.060000000000000000e+02,9.923230624363579278e-01
6.080000000000000000e+02,9.835001321205053548e-01
6.100000000000000000e+02,9.783273365925851950e-01
6.120000000000000000e+02,9.886529983044793912e-01
6.140000000000000000e+02,9.958255621685490055e-01
6.160000000000000000e+02,9.957107984662044720e-01
6.180000000000000000e+02,9.896306957903600043e-01
6.200000000000000000e+02,9.949086573018028901e-01
6.220000000000000000e+02,9.981072337372073333e-01
6.240000000000000000e+02,9.523932471623365315e-01
6.260000000000000000e+02,9.465922954701568859e-01
6.280000000000000000e+02,9.647237235685706125e-01
6.300000000000000000e+02,9.632466564810083787e-01
6.320000000000000000e+02,9.302344297488585045e-01
6.340000000000000000e+02,8.839691740092403549e-01
6.360000000000000000e+02,9.125362337795019929e-01
6.380000000000000000e+02,9.263217555609309928e-01
6.400000000000000000e+02,9.099200344493962866e-01
6.420000000000000000e+02,8.717550091083535735e-01
6.440000000000000000e+02,8.075170404362086440e-01
